state,income_tax,sales_tax,property_tax
Alabama,5.50%,4.00%,0.42%
Alaska,0.00%,0.00%,1.19%
Arizona,4.54%,5.60%,0.72%
Arkansas,6.90%,6.50%,0.63%
California,13.30%,7.25%,0.77%
Colorado,4.63%,2.90%,0.55%
Connecticuit,6.99%,6.35%,2.07%
Delaware,7.23%,0.00%,0.56%
District of Columbia,8.95%,6.00%,0.55%
Florida,0.00%,6.00%,0.98%
Georgia,5.75%,4.00%,0.91%
Hawaii,11.00%,4.00%,0.27%
Idaho,6.93%,6.00%,0.75%
Illinois,4.95%,6.25%,2.31%
Indiana,4.79%,7.00%,0.87%
Iowa,8.75%,6.00%,1.53%
Kansas,5.70%,6.50%,1.40%
Kentucky,7.08%,6.00%,0.86%
Louisiana,6.00%,4.45%,0.52%
Maine,7.15%,5.50%,1.35%
Maryland,8.60%,6.00%,1.10%
Massachussetts,5.05%,6.25%,1.22%
Michigan,5.95%,6.00%,1.64%
Minnesota,9.85%,6.88%,1.15%
Mississippi,5.00%,7.00%,0.80%
Missouri,5.90%,4.23%,0.99%
Montana,6.90%,0.00%,0.84%
Nebraska,6.84%,5.50%,1.80%
Nevada,0.00%,6.85%,0.69%
New Hampshire,5.00%,0.00%,2.20%
New Jersey,11.25%,6.63%,2.44%
New Mexico,4.90%,5.13%,0.78%
New York,10.69%,4.00%,1.68%
North Carolina,5.25%,4.75%,0.86%
North Dakota,2.90%,5.00%,1.01%
Ohio,7.50%,5.75%,1.57%
Oklahoma,5.00%,4.50%,0.90%
Oregon,10.28%,0.00%,1.04%
Pennsylvania,6.01%,6.00%,1.58%
Rhode Island,5.99%,7.00%,1.66%
South Carolina,7.00%,6.00%,0.57%
South Dakota,0.00%,4.50%,1.32%
Tennessee,2.00%,7.00%,0.74%
Texas,0.00%,6.25%,1.83%
Utah,4.95%,4.85%,0.66%
Vermont,8.75%,6.00%,1.83%
Virginia,5.75%,4.30%,0.80%
Washington,0.00%,6.50%,1.03%
West Virginia,6.50%,6.00%,0.59%
Wisconsin,7.65%,5.00%,1.94%
Wyoming,0.00%,4.00%,0.61%
